R_EX_4abut_e	1
R_EX_ac_e	1
R_EX_adocbl_e	1
R_EX_glyb_e	-1
R_EX_btn_e	1
R_EX_co2_e	1
R_EX_15dap_e	1
R_EX_C02528_e	-1
R_EX_cholate_e	-1
R_EX_fruur_e	-1
R_EX_gal_e	-1
R_EX_galur_e	-1
R_EX_glcn__D_e	-1
R_EX_glcn_e	-1
R_EX_glc__D_e	-1
R_EX_glc__bD_e	-1
R_EX_glcur_e	-1
R_EX_rib__D_e	-1
R_EX_tagur_e	-1
R_EX_dma_e	1
R_EX_etoh_e	1
R_EX_fol_e	1
R_EX_fald_e	1
R_EX_for_e	1
R_EX_h2_e	1
R_EX_indole_e	1
R_EX_ind3ac_e	1
R_EX_glu__D_e	-1
R_EX_glu__L_e	-1
R_EX_gln__L_e	-1
R_EX_his__L_e	-1
R_EX_idon__L_e	-1
R_EX_ile__L_e	-1
R_EX_lac__D_e	1
R_EX_lac__L_e	1
R_EX_leu__L_e	-1
R_EX_mal__D_e	-1
R_EX_mal__L_e	-1
R_EX_thr__L_e	1
R_EX_val__L_e	-1
R_EX_lcts_e	-1
R_EX_malt_e	-1
R_EX_meoh_e	1
R_EX_nh3_e	1
R_EX_nh4_e	1
R_EX_nac_e	1
R_EX_ncam_e	1
R_EX_ptrc_e	1
R_EX_pydam_e	-1
R_EX_pydx_e	-1
R_EX_pydxn_e	-1
R_EX_ribflv_e	1
R_EX_succ_e	1
R_EX_so4_e	-1
R_EX_thm_e	1
R_EX_tsul_e	-1
R_EX_tma_e	1
