R_EX_4abz_e	-1
R_EX_ac_e	1
R_EX_actn__R_e	1
R_EX_co2_e	1
R_EX_C02528_e	1
R_EX_cholate_e	1
R_EX_cit_e	-1
R_EX_fru_e	-1
R_EX_glc__D_e	-1
R_EX_glc__bD_e	-1
R_EX_mnl_e	-1
R_EX_dchac_e	1
R_EX_malthx_e	-1
R_EX_malttr_e	-1
R_EX_maltttr_e	-1
R_EX_starch_e	-1
R_EX_etoh_e	1
R_EX_fol_e	1
R_EX_for_e	1
R_EX_gdchola_e	-1
R_EX_HC02193_e	-1
R_EX_lac__D_e	1
R_EX_lac__L_e	1
R_EX_HC02191_e	1
R_EX_acnam_e	-1
R_EX_pnto__R_e	-1
R_EX_ribflv_e	1
R_EX_succ_e	1
R_EX_tdchola_e	-1
R_EX_tchola_e	-1
R_EX_tdechola_e	-1
R_EX_HC02192_e	-1
